Feature,Importance
odor,0.17729460004942488
gill-color,0.1128747209599972
gill-size,0.09302235717868183
spore-print-color,0.0923806947181277
ring-type,0.07329354121399743
stalk-root,0.06362076483814981
population,0.060087436086309454
bruises,0.05705612479962328
stalk-surface-above-ring,0.04754167151174985
gill-spacing,0.04242057821718034
stalk-surface-below-ring,0.04186492949102704
habitat,0.035100660958483944
stalk-shape,0.020411607615031007
stalk-color-above-ring,0.01871701414871393
ring-number,0.015764574272431848
stalk-color-below-ring,0.015094666470150389
cap-color,0.014038368186647755
cap-surface,0.00886506944094711
cap-shape,0.004405173641357461
veil-color,0.003591760131743536
gill-attachment,0.002553686070224271
veil-type,0.0
